CPF_Number,Operator_ID,Operator_Name,Operator_Searchable_Name,Region,Pipeline_Type,How_Discovered?,Case_Type,Notice_Actions,Cited_Regulations,Violation_Category,Proposed_Penalties,Assessed_Penalties,Collected_Penalties,Case_Status,Opened_Date,Latest_Order_Type,Latest_Order_Date,Closed_Date,Notice_Sent_Date,Operator_Response_Date,Operator_Request_Hearing_Date,Hearing_Date,Final_Order_Date,Petition_for_Reconsideration_Date,Decision_on_Petition_Date,Consent_Order_Date,Corrective_Action_Order_Date,Order_Direct_Amendment_Date,Safety_Order_Date,Penalty_Collected_Date,Region_Withdrawn_Date,Opened_Year,Closed_Year,Order_Issued_Ind,Final_Order_Ind,Petition_for_Reconsideration_Ind,Decision_on_Petition_Ind,Consent_Order_Ind,Corrective_Action_Order_Ind,Order_Direct_Amendment_Ind,Safety_Order_Ind,Penalty_Collected_Ind,Case_Closure_Ind,Proposed_Civil_Penalty_Ind,Proposed_Compliance_Order_Ind,Penalty_Reduction_Ind,Basis_for_penalty_reduction,Report_Type,Report_Number,WMS_Activity_Seq,Data_Source,Data_as_of
42025041NOA,13480,NIAGARA MOHAWK POWER CORP,NIAGARA MOHAWK POWER CORP,Southwest,INTERSTATE LNG,Standard,Notice of Amendment,NOA,193.2509(b)(3),Operation and/or Maintenance,,,,OPEN,8/29/25,,,,8/29/25,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,24-308458,WMS,09/03/2025 9:00 AM
42025056NOPV,31130,"DCP MIDSTREAM, LP","DCP MIDSTREAM, LP",Southwest,INTERSTATE GAS TRANSMISSION,Integrated,Notice of Probable Violation,"CO, CP","192.229(c)(1),  192.463(a),  192.619(a)(3),  192.619(c)(1)","Corrosion Control,  Operation and/or Maintenance,  Welding of Steel in Pipelines ",37200,,,OPEN,8/29/25,,,,8/29/25,,,,,,,,,,,,,2025,,,,,,,,,,,,Yes,Yes,,,,,24-296556,WMS,09/03/2025 9:00 AM
42025040NOPV,13480,NIAGARA MOHAWK POWER CORP,NIAGARA MOHAWK POWER CORP,Southwest,INTERSTATE LNG,Standard,Notice of Probable Violation,CO,193.2629(a)(2)(ii),Operation and/or Maintenance,,,,OPEN,8/28/25,,,,8/28/25,,,,,,,,,,,,,2025,,,,,,,,,,,,,Yes,,,,,24-308458,WMS,09/03/2025 9:00 AM
12025009WL,39491,EQT PRODUCTION,EQT PRODUCTION,Eastern,INTERSTATE GAS TRANSMISSION,Construction,Warning Letter,WI,191.22(c)(1)(i),Reporting,,,,CLOSED,8/25/25,,,8/25/25,8/25/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,25-337542,WMS,09/03/2025 9:00 AM
42025047NOPV,32005,"ENLINK PROCESSING SERVICES, LLC","ENLINK PROCESSING SERVICES, LLC",Southwest,INTERSTATE GAS TRANSMISSION,GRIT,Notice of Probable Violation,CO,192.925(b)(3),Integrity Management,,,,OPEN,8/20/25,,,,8/20/25,,,,,,,,,,,,,2025,,,,,,,,,,,,,Yes,,,,,24-296558,WMS,09/03/2025 9:00 AM
42025046NOA,32005,"ENLINK PROCESSING SERVICES, LLC","ENLINK PROCESSING SERVICES, LLC",Southwest,INTERSTATE GAS TRANSMISSION,GRIT,Notice of Amendment,NOA,"192.605(b)(1),  192.710(b)(1),  192.710(c)(3)","OME Procedural Manual,  Operation and/or Maintenance",,,,OPEN,8/20/25,,,,8/20/25,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,24-296558,WMS,09/03/2025 9:00 AM
32025006NOPV,19270,"TEXAS GAS TRANSMISSION, LLC","TEXAS GAS TRANSMISSION, LLC",Central,INTERSTATE GAS TRANSMISSION,Specialized,Notice of Probable Violation,"CO/CP, WI","192.605(a),  192.739(a)","OME Procedural Manual,  Operation and/or Maintenance",115400,,,OPEN,8/18/25,,,,8/18/25,,,,,,,,,,,,,2025,,,,,,,,,,,,Yes,Yes,,,,,23-264820,WMS,09/03/2025 9:00 AM
32025029NOPV,18678,ST LOUIS PIPELINE OPERATING LLC,ST LOUIS PIPELINE OPERATING LLC,Central,INTERSTATE LIQUID,Integrated,Notice of Probable Violation,"CO, WI","195.266,  195.406(a),  195.505(h)","Construction,  Operation and/or Maintenance,  Operator Qualification",,,,OPEN,8/15/25,,,,8/15/25,,,,,,,,,,,,,2025,,,,,,,,,,,,,Yes,,,,,24-297350,WMS,09/03/2025 9:00 AM
12025032WL,3110,"DANVILLE, CITY OF","DANVILLE, CITY OF",Eastern,DISTRIBUTION MUNICIPAL,60106 Agreement,Warning Letter,WI,192.805(b),Operator Qualification,,,,CLOSED,8/14/25,,,8/14/25,8/14/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,25-345622,WMS,09/03/2025 9:00 AM
12025016WL,19270,"TEXAS GAS TRANSMISSION, LLC","TEXAS GAS TRANSMISSION, LLC",Eastern,INTERSTATE UNDERGROUND NG STORAGE,Standard,Warning Letter,WI,192.12(b)(1),Transportation of Gas,,,,CLOSED,8/14/25,,,8/14/25,8/14/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-295935,WMS,09/03/2025 9:00 AM
12025030WL,17360,"RICHMOND, CITY OF","RICHMOND, CITY OF",Eastern,DISTRIBUTION MUNICIPAL,60106 Agreement,Warning Letter,WI,192.605(a),OME Procedural Manual,,,,CLOSED,8/14/25,,,8/14/25,8/14/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-307994,WMS,09/03/2025 9:00 AM
12025017NOA,19270,"TEXAS GAS TRANSMISSION, LLC","TEXAS GAS TRANSMISSION, LLC",Eastern,INTERSTATE UNDERGROUND NG STORAGE,Standard,Notice of Amendment,NOA,192.12(c),Transportation of Gas,,,,OPEN,8/14/25,,,,8/14/25,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,24-295935,WMS,09/03/2025 9:00 AM
52025006NOPV,39292,"TWIN EAGLE MIDSTREAM ASSETS, LLC","TWIN EAGLE MIDSTREAM ASSETS, LLC",Western,INTERSTATE LIQUID,CRM Determination,Notice of Probable Violation,CO/CP,194.7(b),Response Plans,62900,,,OPEN,7/30/25,,,,7/30/25,,,,,,,,,,,,,2025,,,,,,,,,,,,Yes,Yes,,,,,24-296481,WMS,09/03/2025 9:00 AM
52025026NOPV,22410,"WESTGAS INTERSTATE, INC","WESTGAS INTERSTATE, INC",Western,INTERSTATE GAS TRANSMISSION,Integrated,Notice of Probable Violation,CO,192.739(a),Operation and/or Maintenance,,,,OPEN,7/29/25,,,,7/29/25,,,,,,,,,,,,,2025,,,,,,,,,,,,,Yes,,,,,24-297246,WMS,09/03/2025 9:00 AM
32025022NOPV,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC","COUNTRYMARK REFINING AND LOGISTICS, LLC",Central,INTERSTATE LIQUID,Control Room Management,Notice of Probable Violation,CO,"195.444(c),  195.446(a),  195.446(c)(2),  195.446(c)(3),  195.446(c)(4),  195.446(h)","Control Room Management,  Operation and/or Maintenance",,,,OPEN,7/18/25,,,,7/18/25,7/31/25,,,,,,,,,,,,2025,,,,,,,,,,,,,Yes,,,,,24-297198,WMS,09/03/2025 9:00 AM
22025002WL,4280,EL PASO NATURAL GAS CO,EL PASO NATURAL GAS CO,Southern,INTERSTATE GAS TRANSMISSION,Integrated,Warning Letter,WI,"192.5(a)(1),  192.5(b)(1),  192.5(b)(2)",Transportation of Gas,,,,CLOSED,7/15/25,,,7/15/25,7/15/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,23-266055,WMS,09/03/2025 9:00 AM
32025016NOA,32011,"HOLLY ENERGY PARTNERS - OPERATING, L.P.","HOLLY ENERGY PARTNERS - OPERATING, L.P.",Central,"INTERSTATE LIQUID, INTRASTATE LIQUID",Control Room Management,Notice of Amendment,NOA,"195.446(a),  195.446(b),  195.446(b)(5),  195.446(c)(2),  195.446(c)(3),  195.446(c)(4),  195.446(e)(1),  195.446(e)(2),  195.446(e)(3),  195.446(e)(5),  195.446(h),  195.446(h)(6)",Control Room Management,,,,OPEN,7/14/25,,,,7/14/25,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,24-297199,WMS,09/03/2025 9:00 AM
42025049NOPV,32099,ENERGY TRANSFER COMPANY,ENERGY TRANSFER COMPANY,Southwest,INTERSTATE LIQUID,Integrated,Notice of Probable Violation,CO,195.452(f)(3),Integrity Management,,,,OPEN,7/10/25,,,,7/10/25,,,,,,,,,,,,,2025,,,,,,,,,,,,,Yes,,,,,24-296979,WMS,09/03/2025 9:00 AM
42025038NOA,4070,"EAST TENNESSEE NATURAL GAS, LLC","EAST TENNESSEE NATURAL GAS, LLC",Southwest,INTERSTATE LNG,Standard,Notice of Amendment,NOA,"193.2017(c),  193.2503(g),  193.2505(a),  193.2505(b),  193.2509(a),  193.2509(b)(1),  193.2605(a),  193.2605(b),  193.2605(b)(2),  193.2605(c),  193.2617(a)","LNG Facilities,  Operation and/or Maintenance",,,,OPEN,7/8/25,,,,7/8/25,8/5/25,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,24-298760,WMS,09/03/2025 9:00 AM
42025033NOA,40358,NFENERGIA LLC,NFENERGIA LLC,Southwest,INTRASTATE LNG,Standard,Notice of Amendment,NOA,"193.2503(b),  193.2503(g),  193.2509(b)(3),  193.2605(b)(1),  193.2605(b)(2),  193.2611(a),  193.2613,  193.2619(a),  193.2625(a)",Operation and/or Maintenance,,,,OPEN,7/3/25,,,,7/3/25,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,24-298759,WMS,09/03/2025 9:00 AM
42025039NOPV,4070,"EAST TENNESSEE NATURAL GAS, LLC","EAST TENNESSEE NATURAL GAS, LLC",Southwest,INTERSTATE LNG,Standard,Notice of Probable Violation,CO,193.2441(c),Equipment,,,,OPEN,7/3/25,,,,7/3/25,7/31/25,,,,,,,,,,,,2025,,,,,,,,,,,,,Yes,,,,,24-298760,WMS,09/03/2025 9:00 AM
32025017NOA,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC","COUNTRYMARK REFINING AND LOGISTICS, LLC",Central,INTERSTATE LIQUID,Control Room Management,Notice of Amendment,NOA,"195.402(a),  195.402(d)(4),  195.446(a),  195.446(b)(3),  195.446(c)(1),  195.446(d)(2),  195.446(e)(1),  195.446(e)(3)","Control Room Management,  OME Procedural Manual",,,,OPEN,7/2/25,,,,7/2/25,7/25/25,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,24-297198,WMS,09/03/2025 9:00 AM
12025013WL,405,ANR PIPELINE CO,ANR PIPELINE CO,Eastern,INTERSTATE UNDERGROUND NG STORAGE,Standard,Warning Letter,WI,192.12(b)(2),Transportation of Gas,,,,CLOSED,7/2/25,,,7/2/25,7/2/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-295937,WMS,09/03/2025 9:00 AM
12025008NOA,17360,"RICHMOND, CITY OF","RICHMOND, CITY OF",Eastern,DISTRIBUTION MUNICIPAL,60106 Agreement,Notice of Amendment,NOA,192.605(b)(1),OME Procedural Manual,,,,OPEN,7/1/25,,,,7/1/25,7/23/25,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,25-336868,WMS,09/03/2025 9:00 AM
32025027NOPV,19235,"TEXAS EASTERN TRANSMISSION, LP","TEXAS EASTERN TRANSMISSION, LP",Central,INTERSTATE GAS TRANSMISSION,GRIT,Notice of Probable Violation,CO,192.605(a),OME Procedural Manual,,,,OPEN,7/1/25,,,,7/1/25,7/31/25,,,,,,,,,,,,2025,,,,,,,,,,,,,Yes,,,,,24-299195,WMS,09/03/2025 9:00 AM
32025028NOA,19235,"TEXAS EASTERN TRANSMISSION, LP","TEXAS EASTERN TRANSMISSION, LP",Central,INTERSTATE GAS TRANSMISSION,GRIT,Notice of Amendment,NOA,"192.607(c),  192.607(e)(1),  192.609,  192.613(a),  192.632,  192.632(a),  192.712(d)(3),  192.712(e)(2)(iii)","MAOP Assessment,  Operation and/or Maintenance",,,,OPEN,7/1/25,,,,7/1/25,7/31/25,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,24-299195,WMS,09/03/2025 9:00 AM
12025031NOA,26041,"KINDER MORGAN LIQUID TERMINALS, LLC","KINDER MORGAN LIQUID TERMINALS, LLC",Eastern,INTRASTATE LIQUID,Integrated,Notice of Amendment,NOA,195.442(b),Damage Prevention,,,,OPEN,7/1/25,,,,7/1/25,7/22/25,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,24-296902,WMS,09/03/2025 9:00 AM
12025029WL,17360,"RICHMOND, CITY OF","RICHMOND, CITY OF",Eastern,DISTRIBUTION MUNICIPAL,60106 Agreement,Warning Letter,WI,192.605(a),OME Procedural Manual,,,,CLOSED,7/1/25,,,7/1/25,7/1/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,25-336768,WMS,09/03/2025 9:00 AM
12025026NOA,31442,DOUGLAS PIPELINE CO,DOUGLAS PIPELINE CO,Eastern,INTERSTATE GAS TRANSMISSION,Integrated,Notice of Amendment,NOA,"192.605(a),  192.605(b)(1),  192.605(b)(2),  192.605(b)(8),  192.615(a)(12),  192.805(e)","OME Procedural Manual,  Operation and/or Maintenance,  Operator Qualification",,,,OPEN,7/1/25,,,,7/1/25,7/31/25,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,24-295885,WMS,09/03/2025 9:00 AM
12025023NOA,11824,LOUISVILLE GAS & ELECTRIC CO,LOUISVILLE GAS & ELECTRIC CO,Eastern,INTRASTATE UNDERGROUND NG STORAGE,Standard,Notice of Amendment,NOA,192.12(c),Transportation of Gas,,,,OPEN,7/1/25,,,,7/1/25,7/29/25,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,24-296374,WMS,09/03/2025 9:00 AM
12025024NOA,2616,"COLUMBIA GAS TRANSMISSION, LLC","COLUMBIA GAS TRANSMISSION, LLC",Eastern,INTERSTATE GAS TRANSMISSION,Construction,Notice of Amendment,NOA,192.303,Construction,,,,OPEN,7/1/25,,,,7/1/25,7/30/25,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,24-296184,WMS,09/03/2025 9:00 AM
